id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,schema drift,49,8,29,87,320,ship,baseline,monotonic-signal,raise-signal
m002,g002,lineage depth,86,2,19,62,432,ship,edge,drag-penalty,drop-slack
m003,g003,partition skew,68,18,44,104,410,ship,recovery,confidence-floor,raise-drag
m004,g004,quality gap,107,58,26,67,568,ship,negative,lane-boundary,lower-confidence
m005,g005,schema drift,51,45,22,72,349,ship,baseline,monotonic-signal,raise-signal
m006,g006,lineage depth,57,30,43,73,318,ship,edge,drag-penalty,drop-slack
m007,g007,partition skew,68,77,20,78,465,ship,recovery,confidence-floor,raise-drag
m008,g008,quality gap,77,27,20,72,439,ship,negative,lane-boundary,lower-confidence
m009,g009,schema drift,50,75,4,50,367,ship,baseline,monotonic-signal,raise-signal
m010,g010,lineage depth,114,55,19,37,547,ship,edge,drag-penalty,drop-slack
m011,g011,partition skew,110,64,14,35,546,ship,recovery,confidence-floor,raise-drag
m012,g012,quality gap,112,31,44,25,441,ship,negative,lane-boundary,lower-confidence
m013,g013,schema drift,81,17,14,44,401,ship,baseline,monotonic-signal,raise-signal
m014,g014,lineage depth,100,1,30,52,445,ship,edge,drag-penalty,drop-slack
m015,g015,partition skew,73,12,25,60,374,ship,recovery,confidence-floor,raise-drag
m016,g016,quality gap,107,15,35,13,399,ship,negative,lane-boundary,lower-confidence
m017,g017,schema drift,93,19,24,99,541,ship,baseline,monotonic-signal,raise-signal
m018,g018,lineage depth,32,47,41,97,287,ship,edge,drag-penalty,drop-slack
m019,g019,partition skew,53,10,37,58,264,ship,recovery,confidence-floor,raise-drag
m020,g020,quality gap,111,24,5,73,604,ship,negative,lane-boundary,lower-confidence
m021,g021,schema drift,65,33,15,61,385,ship,baseline,monotonic-signal,raise-signal
m022,g022,lineage depth,76,29,42,103,455,ship,edge,drag-penalty,drop-slack
m023,g023,partition skew,45,11,43,79,263,ship,recovery,confidence-floor,raise-drag
m024,g024,quality gap,77,69,14,58,465,ship,negative,lane-boundary,lower-confidence
m025,g025,schema drift,62,60,4,72,444,ship,baseline,monotonic-signal,raise-signal
m026,g026,lineage depth,44,53,22,77,339,ship,edge,drag-penalty,drop-slack
m027,g027,partition skew,87,68,18,84,548,ship,recovery,confidence-floor,raise-drag
m028,g028,quality gap,68,73,7,36,403,ship,negative,lane-boundary,lower-confidence
m029,g029,schema drift,71,8,28,36,308,ship,baseline,monotonic-signal,raise-signal
m030,g030,lineage depth,63,2,40,34,242,ship,edge,drag-penalty,drop-slack
m031,g031,partition skew,67,18,12,37,336,ship,recovery,confidence-floor,raise-drag
m032,g032,quality gap,81,23,31,30,345,ship,negative,lane-boundary,lower-confidence
m033,g033,schema drift,48,63,4,51,349,ship,baseline,monotonic-signal,raise-signal
m034,g034,lineage depth,109,39,34,59,525,ship,edge,drag-penalty,drop-slack
m035,g035,partition skew,60,46,36,25,264,ship,recovery,confidence-floor,raise-drag
m036,g036,quality gap,83,12,41,85,432,ship,negative,lane-boundary,lower-confidence
m037,g037,schema drift,107,32,15,96,622,ship,baseline,monotonic-signal,raise-signal
m038,g038,lineage depth,109,0,45,57,460,ship,edge,drag-penalty,drop-slack
